iter	PrecisionAt:top=5	Logloss
284	0.38125	0.2958826958
285	0.38125	0.2957213817
286	0.3857142857	0.2955523653
287	0.3883928571	0.2954234544
288	0.3866071429	0.2952554144
289	0.3883928571	0.2950915648
290	0.3883928571	0.2950349455
291	0.3919642857	0.29493987
292	0.3901785714	0.2948327283
293	0.3919642857	0.2947513249
294	0.3973214286	0.2946299915
295	0.3973214286	0.2945365701
296	0.3973214286	0.2944762995
297	0.4008928571	0.2943959553
298	0.4	0.2943288818
299	0.4	0.2942072028
300	0.3991071429	0.2941261294
301	0.3982142857	0.2940446143
302	0.3982142857	0.2939781043
303	0.4	0.2938898083
304	0.3991071429	0.293770351
305	0.3991071429	0.2937273444
306	0.3982142857	0.2936150274
307	0.3973214286	0.2935346644
308	0.4008928571	0.2934135929
309	0.4008928571	0.2933608534
310	0.4	0.2933200753
311	0.4026785714	0.2931908605
312	0.4035714286	0.2931601869
313	0.4071428571	0.2930462078
314	0.4044642857	0.2929662191
315	0.4053571429	0.2929547454
316	0.40625	0.2928212311
317	0.4080357143	0.2926893891
318	0.4133928571	0.2926080951
319	0.4116071429	0.2925041819
320	0.4142857143	0.2924266707
321	0.4133928571	0.2923659102
322	0.4098214286	0.2922377757
323	0.4107142857	0.2921855254
324	0.4133928571	0.2921007813
325	0.4133928571	0.2920728289
326	0.4133928571	0.2920626999
327	0.4169642857	0.2919137464
328	0.4169642857	0.2917816302
329	0.4169642857	0.2916920448
330	0.4178571429	0.2915834376
331	0.4178571429	0.2915745453
332	0.41875	0.2914854625
333	0.4196428571	0.2914129714
334	0.4205357143	0.2913487192
335	0.4232142857	0.2912781689
336	0.425	0.2911784846
337	0.425	0.2911162106
338	0.4241071429	0.2910512915
339	0.425	0.290987872
340	0.425	0.2909270624
341	0.4258928571	0.2909048263
342	0.4267857143	0.2908355249
343	0.4294642857	0.290777
344	0.43125	0.2906722577
345	0.43125	0.2905920437
346	0.43125	0.2905284368
347	0.4294642857	0.2904668591
348	0.4303571429	0.2903905163
349	0.43125	0.2903417572
350	0.43125	0.2902044243
351	0.43125	0.2901337906
352	0.43125	0.2900151774
353	0.4303571429	0.2899588746
354	0.43125	0.2899354574
355	0.4339285714	0.2898069638
356	0.4348214286	0.2897456952
357	0.4348214286	0.2897056845
358	0.4330357143	0.289613471
359	0.4330357143	0.2895301606
360	0.4348214286	0.2894578722
361	0.4339285714	0.2893791955
362	0.4339285714	0.2893436762
363	0.4366071429	0.2892712921
364	0.4383928571	0.2892041504
365	0.4401785714	0.2891281734
